,Unnamed: 0,Email_ID,type,Trace_ID,Action,Date
163,163,154,email,42,ask a question,2017-04-18 15:20:06
172,172,155,email,44,close question,2017-04-18 15:37:49
38,38,156,email,5,build system update,2017-04-18 16:56:04
198,198,157,email,48,issue comment,2017-04-18 21:13:41
199,199,158,email,48,issue comment,2017-04-18 21:15:42
200,200,159,email,48,issue comment,2017-04-18 21:18:41
66,66,160,email,14,close question,2017-04-19 03:40:13
205,205,161,email,49,ask a question,2017-04-19 05:10:16
111,111,162,email,22,issue comment,2017-04-19 06:14:41
180,180,163,email,46,issue comment,2017-04-19 07:05:41
182,182,165,email,46,issue comment,2017-04-19 07:06:41
181,181,164,email,46,reopen issue,2017-04-19 07:06:41
173,173,166,email,44,provide support,2017-04-19 07:07:12
112,112,167,email,22,issue comment,2017-04-19 07:08:41
102,102,169,email,21,resolve issue,2017-04-19 07:32:41
103,103,170,email,21,assign issue,2017-04-19 07:32:41
101,101,168,email,21,issue update,2017-04-19 07:32:41
114,114,172,email,22,issue comment,2017-04-19 07:46:41
113,113,171,email,22,issue update,2017-04-19 07:46:41
209,209,173,email,50,create issue,2017-04-19 07:47:41
122,122,174,email,24,version release planning,2017-04-19 07:54:25
210,210,175,email,50,assign issue,2017-04-19 07:56:41
93,93,176,email,19,ask a question,2017-04-19 07:57:38
94,94,177,email,19,provide support,2017-04-19 08:00:23
211,211,178,email,50,issue comment,2017-04-19 08:01:41
220,220,179,email,52,commit changes,2017-04-19 08:02:24
221,221,180,email,52,close pull request,2017-04-19 08:02:44
222,222,181,email,52,automated comment issue,2017-04-19 08:03:41
201,201,182,email,48,commit changes,2017-04-19 08:05:09
202,202,183,email,48,commit changes,2017-04-19 08:08:27
203,203,184,email,48,issue comment,2017-04-19 08:10:41
204,204,185,email,48,commit changes,2017-04-19 08:10:44
219,219,186,email,51,build system update,2017-04-19 08:31:14
183,183,187,email,46,commit changes,2017-04-19 08:35:46
184,184,188,email,46,commit changes,2017-04-19 08:35:47
185,185,189,email,46,commit changes,2017-04-19 08:35:48
186,186,190,email,46,commit changes,2017-04-19 08:35:49
187,187,191,email,46,commit changes,2017-04-19 08:35:50
188,188,192,email,46,commit changes,2017-04-19 08:35:51
189,189,193,email,46,commit changes,2017-04-19 08:35:52
190,190,194,email,46,commit changes,2017-04-19 08:35:53
191,191,195,email,46,commit changes,2017-04-19 08:35:54
192,192,196,email,46,commit changes,2017-04-19 08:35:55
193,193,197,email,46,commit changes,2017-04-19 08:35:56
194,194,198,email,46,commit changes,2017-04-19 08:35:57
223,223,199,email,53,commit changes,2017-04-19 08:35:58
195,195,200,email,46,resolve issue,2017-04-19 08:38:41
167,167,201,email,43,reopen issue,2017-04-19 08:39:41
225,225,202,email,54,ask a question,2017-04-19 08:42:49
228,228,203,email,55,commit changes,2017-04-19 08:44:54
168,168,204,email,43,commit changes,2017-04-19 08:48:23
169,169,205,email,43,resolve issue,2017-04-19 08:49:41
229,229,206,email,56,build system update,2017-04-19 08:51:49
226,226,207,email,54,provide support,2017-04-19 09:05:02
230,230,208,email,57,create issue,2017-04-19 09:08:41
115,115,209,email,22,open pull request,2017-04-19 09:09:49
224,224,210,email,53,commit changes,2017-04-19 09:14:37
196,196,211,email,46,commit changes,2017-04-19 09:14:38
231,231,212,email,57,commit changes,2017-04-19 09:15:57
232,232,213,email,57,resolve issue,2017-04-19 09:16:41
116,116,214,email,22,commit changes,2017-04-19 09:17:59
117,117,215,email,22,close pull request,2017-04-19 09:19:19
118,118,216,email,22,issue comment,2017-04-19 09:20:41
175,175,217,email,45,commit changes,2017-04-19 09:45:35
176,176,218,email,45,resolve issue,2017-04-19 09:46:41
233,233,219,email,58,assign issue,2017-04-19 10:18:41
212,212,220,email,50,open pull request,2017-04-19 10:33:12
213,213,221,email,50,automated comment issue,2017-04-19 10:33:41
214,214,222,email,50,commit changes,2017-04-19 10:52:10
215,215,223,email,50,close pull request,2017-04-19 10:52:29
216,216,224,email,50,automated comment issue,2017-04-19 10:52:41
218,218,226,email,50,assign issue,2017-04-19 11:00:47
217,217,225,email,50,resolve issue,2017-04-19 11:00:47
161,161,227,email,41,commit changes,2017-04-19 11:04:44
234,234,228,email,59,issue update,2017-04-19 11:11:41
235,235,229,email,60,create issue,2017-04-19 11:14:41
206,206,230,email,49,assign issue,2017-04-19 11:37:41
207,207,231,email,49,open pull request,2017-04-19 11:38:12
208,208,232,email,49,automated comment issue,2017-04-19 11:38:41
123,123,233,email,24,version release planning,2017-04-19 11:39:20
39,39,234,email,5,build system update,2017-04-19 11:51:33
236,236,235,email,61,commit changes,2017-04-19 11:53:09
237,237,236,email,61,commit changes,2017-04-19 11:53:10
238,238,237,email,62,commit changes,2017-04-19 11:57:57
240,240,238,email,63,open pull request,2017-04-19 12:21:29
124,124,239,email,24,version release planning,2017-04-19 12:21:57
239,239,240,email,62,commit changes,2017-04-19 12:26:53
243,243,241,email,64,ask a question,2017-04-19 12:27:35
244,244,242,email,64,ask a question,2017-04-19 12:29:00
227,227,243,email,54,close question,2017-04-19 12:30:24
245,245,244,email,64,update question,2017-04-19 12:30:59
241,241,245,email,63,commit changes,2017-04-19 12:31:03
242,242,246,email,63,close pull request,2017-04-19 12:31:17
246,246,247,email,64,provide support,2017-04-19 12:35:40
247,247,248,email,64,ask a question,2017-04-19 13:08:24
248,248,249,email,64,ask a question,2017-04-19 13:27:36
249,249,250,email,65,publicity,2017-04-19 13:27:37
